County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
JOHNSTON,5/17/22,PR28,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Write-In (Miscellaneous),,1,3,0,0,0,3,Y
JOHNSTON,5/17/22,PR28,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,4,0,0,0,4,Y
JOHNSTON,5/17/22,PR28,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,TRANSFER,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,3,0,0,0,3,N
JOHNSTON,5/17/22,TRANSFER,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Sloan Stevens, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,PR26,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,6,0,0,0,6,Y
JOHNSTON,5/17/22,PR26,20,C,TOWN OF SMITHFIELD MAYOR,Write-In (Miscellaneous),,1,5,0,0,0,5,Y
JOHNSTON,5/17/22,PR27A,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,PROVISIONAL,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,0,0,0,0,N
JOHNSTON,5/17/22,TRANSFER,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS ARCHER LODGE,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS CLAYTON,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,0,0,0,0,0,N
JOHNSTON,5/17/22,OS SMITHFIELD,22,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 02,Elizabeth Anne Temple, ,1,0,62,0,0,62,N
JOHNSTON,5/17/22,OS SMITHFIELD,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Write-In (Miscellaneous),,1,0,1,0,0,1,N
JOHNSTON,5/17/22,PR26,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Travis J. Scott, ,1,16,0,0,0,16,Y
JOHNSTON,5/17/22,PR27A,20,C,TOWN OF SMITHFIELD MAYOR,Andy Moore, ,1,144,0,0,0,144,Y
JOHNSTON,5/17/22,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,24,0,0,0,24,Y
JOHNSTON,5/17/22,PR28,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Write-In (Miscellaneous),,1,4,0,0,0,4,Y
JOHNSTON,5/17/22,PR27B,23,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 03,Write-In (Miscellaneous),,1,0,0,0,0,0,Y
JOHNSTON,5/17/22,PR28,24,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 04,Doris Louise Wallace, ,1,1,0,0,0,1,Y
JOHNSTON,5/17/22,ABSENTEE,21,C,TOWN OF SMITHFIELD TOWN COUNCIL MEMBER DISTRICT 01,Marlon Lee, ,1,0,0,5,0,5,N
