County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
WAKE,11/8/22,2-Aug,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Corey Branch (Write-In),,2,0,0,0,0,0,Y
WAKE,11/8/22,TRANS 41-80,920017,C,CITY OF RALEIGH MAYOR,Jamie Harper (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,TRANS 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Anne S. Franklin, ,2,0,0,0,0,0,N
WAKE,11/8/22,TRANS 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Ms. Stormie Denise Forte, ,2,0,0,0,0,0,N
WAKE,11/8/22,TRANS 81-120,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,Megan Patton, ,1,0,0,0,0,0,N
WAKE,11/8/22,TRANS 81-120,920017,C,CITY OF RALEIGH MAYOR,Tom Fetzer (Write-In),,1,0,0,0,0,0,N
WAKE,11/8/22,TRANS 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Christina Jones (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,TRANS 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,John Odom, ,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Cat Lawson (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,OSWD 81-120,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Whitney Hill (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,PROVI 1-40,21,C,CITY OF RALEIGH CITY COUNCIL DISTRICT C,Corey Branch, ,1,0,0,0,30,30,N
WAKE,11/8/22,PROVI 1-40,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,0,0,0,133,133,N
WAKE,11/8/22,PROVI 1-40,920024,C,CITY OF RALEIGH PARKS AND RECREATIONAL FACILITIES BONDS,Yes, ,1,0,0,0,481,481,N
WAKE,11/8/22,PROVI 41-80,20,C,CITY OF RALEIGH CITY COUNCIL DISTRICT B,Megan Patton, ,1,0,0,0,17,17,N
WAKE,11/8/22,PROVI 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Christina Jones (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,PROVI 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Jonathan Melton, ,2,0,0,0,91,91,N
WAKE,11/8/22,PROVI 41-80,920018,C,CITY OF RALEIGH CITY COUNCIL AT-LARGE,Megan Patton (Write-In),,2,0,0,0,0,0,N
WAKE,11/8/22,1-Nov,920017,C,CITY OF RALEIGH MAYOR,Write-In (Miscellaneous),,1,29,0,0,0,29,Y
