,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
3080,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,112,41,0,0,153,Y
3081,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,138,48,0,0,186,Y
3082,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,43,6,0,0,49,Y
3083,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,115,46,0,0,161,Y
3084,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,22,1,0,0,23,Y
3085,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,18,1,0,0,19,Y
3087,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,85,22,0,0,107,Y
3089,MECKLENBURG,11/7/23,66,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,20,1,0,0,21,Y
3124,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,75,23,0,0,98,Y
3125,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,93,47,0,0,140,Y
3126,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,41,18,0,0,59,Y
3127,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,92,38,0,0,130,Y
3128,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,22,23,0,0,45,Y
3129,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,11,6,0,0,17,Y
3130,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,84,70,0,0,154,Y
3131,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,130,75,0,0,205,Y
3132,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,67,28,0,0,95,Y
3133,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,79,53,0,0,132,Y
3134,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,14,12,0,0,26,Y
3135,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,17,13,0,0,30,Y
3137,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,52,43,0,0,95,Y
3139,MECKLENBURG,11/7/23,67,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,19,2,0,0,21,Y
3174,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,57,13,0,0,70,Y
3175,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,57,11,0,0,68,Y
3176,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,24,7,0,0,31,Y
3177,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,49,11,0,0,60,Y
3178,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,19,9,0,0,28,Y
3179,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,8,1,0,0,9,Y
3180,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,41,42,0,0,83,Y
3181,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,59,47,0,0,106,Y
3182,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,48,7,0,0,55,Y
3183,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,41,45,0,0,86,Y
3184,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,17,7,0,0,24,Y
3185,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,18,3,0,0,21,Y
3187,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,49,28,0,0,77,Y
3189,MECKLENBURG,11/7/23,68,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,8,4,0,0,12,Y
3224,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,139,50,0,0,189,Y
3225,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,205,85,0,0,290,Y
3226,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,97,41,0,0,138,Y
3227,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,275,66,0,0,341,Y
3228,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,87,31,0,0,118,Y
3229,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,27,10,0,0,37,Y
3230,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,231,112,0,0,343,Y
3231,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,274,127,0,0,401,Y
3232,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,142,52,0,0,194,Y
3233,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,219,93,0,0,312,Y
3234,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,26,17,0,0,43,Y
3235,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,29,14,0,0,43,Y
3237,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,117,46,0,0,163,Y
3239,MECKLENBURG,11/7/23,69,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,20,11,0,0,31,Y
3274,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,105,46,0,0,151,Y
3275,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,147,81,0,0,228,Y
3276,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,71,22,0,0,93,Y
3277,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,139,59,0,0,198,Y
3278,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,65,21,0,0,86,Y
3279,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,17,6,0,0,23,Y
3280,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,146,111,0,0,257,Y
3281,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,174,116,0,0,290,Y
3282,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,107,29,0,0,136,Y
3283,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,141,96,0,0,237,Y
3284,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,23,10,0,0,33,Y
3285,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,51,17,0,0,68,Y
3287,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,84,55,0,0,139,Y
3289,MECKLENBURG,11/7/23,70,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,22,6,0,0,28,Y
3324,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,75,29,0,0,104,Y
3325,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,115,50,0,0,165,Y
3326,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,42,17,0,0,59,Y
3327,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,101,43,0,0,144,Y
3328,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,33,20,0,0,53,Y
3329,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,14,4,0,0,18,Y
3330,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,117,58,0,0,175,Y
3331,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,152,56,0,0,208,Y
3332,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,84,30,0,0,114,Y
3333,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,99,41,0,0,140,Y
3334,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,17,3,0,0,20,Y
3335,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,13,18,0,0,31,Y
3337,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,73,28,0,0,101,Y
3339,MECKLENBURG,11/7/23,71,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,13,3,0,0,16,Y
3374,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,78,12,0,0,90,Y
3375,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,107,35,0,0,142,Y
3376,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,56,10,0,0,66,Y
3377,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,118,34,0,0,152,Y
3378,MECKLENBURG,11/7/23,72,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,31,20,0,0,51,Y
