,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,blockid,total_vap,hs_grad,scol_nd,bach_deg
713,713,714,115,115,MECKLENBURG,,60,,1834.0,706.0,547.0,388.0
717,717,716,116,116,MECKLENBURG,,60,,2021.0,638.0,579.0,262.0
718,718,717,117,117,MECKLENBURG,,60,,2406.0,381.0,777.0,560.0
720,720,722,119,119,MECKLENBURG,,60,,1763.0,310.0,173.0,699.0
752,752,760,120,120,MECKLENBURG,,60,,3175.0,840.0,875.0,915.0
760,760,785,126,126,MECKLENBURG,,60,,4349.0,499.0,1032.0,1315.0
762,762,768,121,121,MECKLENBURG,,60,,4202.0,541.0,523.0,1791.0
765,765,773,122,122,MECKLENBURG,,60,,6571.0,1115.0,1889.0,1769.0
766,766,774,123,123,MECKLENBURG,,60,,3009.0,624.0,823.0,852.0
771,771,778,124,124,MECKLENBURG,,60,,2431.0,668.0,746.0,522.0
773,773,780,125,125,MECKLENBURG,,60,,1555.0,425.0,431.0,230.0
776,776,787,127,127,MECKLENBURG,,60,,5205.0,364.0,551.0,2408.0
778,778,789,128,128,MECKLENBURG,,60,,3200.0,653.0,729.0,812.0
779,779,792,129,129,MECKLENBURG,,60,,1752.0,273.0,628.0,524.0
805,805,827,130,130,MECKLENBURG,,60,,2620.0,867.0,536.0,496.0
834,834,831,131,131,MECKLENBURG,,60,,1723.0,150.0,241.0,726.0
835,835,832,132,132,MECKLENBURG,,60,,1901.0,263.0,509.0,387.0
836,836,834,133,133,MECKLENBURG,,60,,5091.0,489.0,1234.0,1894.0
837,837,836,134,134,MECKLENBURG,,60,,6192.0,879.0,1520.0,1941.0
838,838,1059,200,200,MECKLENBURG,,60,,3571.0,996.0,553.0,830.0
840,840,837,135,135,MECKLENBURG,,60,,6875.0,1020.0,1698.0,1950.0
841,841,838,136,136,MECKLENBURG,,60,,2555.0,254.0,695.0,970.0
842,842,839,137,137,MECKLENBURG,,60,,5735.0,569.0,675.0,2178.0
843,843,841,139.1,139.1,MECKLENBURG,,60,,3324.0,438.0,618.0,1344.0
846,846,840,138,138,MECKLENBURG,,60,,6238.0,2395.0,1404.0,1199.0
851,851,871,144,144,MECKLENBURG,,60,,3464.0,293.0,435.0,1722.0
856,856,874,147,147,MECKLENBURG,,60,,4483.0,784.0,995.0,1032.0
871,871,863,140,140,MECKLENBURG,,60,,6116.0,622.0,1234.0,2256.0
876,876,868,141,141,MECKLENBURG,,60,,7676.0,1117.0,4480.0,771.0
877,877,869,142,142,MECKLENBURG,,60,,8288.0,1043.0,1852.0,3026.0
878,878,870,143,143,MECKLENBURG,,60,,6535.0,647.0,1203.0,2325.0
879,879,872,145,145,MECKLENBURG,,60,,10016.0,1446.0,1835.0,3313.0
880,880,873,146,146,MECKLENBURG,,60,,6008.0,1181.0,1692.0,1478.0
882,882,875,148,148,MECKLENBURG,,60,,10421.0,1151.0,1905.0,3663.0
884,884,876,149,149,MECKLENBURG,,60,,6824.0,759.0,1903.0,2263.0
906,906,900,150,150,MECKLENBURG,,60,,2848.0,871.0,600.0,737.0
919,919,913,151,151,MECKLENBURG,,60,,5252.0,650.0,1597.0,1542.0
1005,1005,1066,204.1,204.1,MECKLENBURG,,60,,7148.0,795.0,2481.0,2110.0
1008,1008,1070,206,206,MECKLENBURG,,60,,5794.0,859.0,1974.0,1385.0
1064,1064,1060,201,201,MECKLENBURG,,60,,8397.0,1882.0,2452.0,1806.0
1066,1066,1062,202,202,MECKLENBURG,,60,,11459.0,2194.0,2318.0,3609.0
1067,1067,1092,218,218,MECKLENBURG,,60,,2627.0,576.0,685.0,792.0
1068,1068,1063,203,203,MECKLENBURG,,60,,7667.0,1696.0,1788.0,1929.0
1069,1069,1068,205,205,MECKLENBURG,,60,,4215.0,856.0,1177.0,1100.0
1070,1070,1072,207,207,MECKLENBURG,,60,,3604.0,613.0,849.0,1261.0
1072,1072,1073,208,208,MECKLENBURG,,60,,4137.0,445.0,885.0,1563.0
1073,1073,1074,209,209,MECKLENBURG,,60,,5381.0,906.0,1004.0,1630.0
1078,1078,1084,210,210,MECKLENBURG,,60,,8376.0,1878.0,2278.0,1872.0
1079,1079,1085,211,211,MECKLENBURG,,60,,13134.0,1833.0,2550.0,4684.0
1080,1080,1086,212,212,MECKLENBURG,,60,,15175.0,1785.0,3540.0,4494.0
1081,1081,1087,213,213,MECKLENBURG,,60,,5365.0,974.0,1583.0,1231.0
1082,1082,1088,214,214,MECKLENBURG,,60,,3912.0,498.0,749.0,1346.0
