county_desc,election_date,stats_type,precinct_abbrv,vtd_abbrv,party_cd,race_code,ethnic_code,sex_code,age,total_voters,update_date,
MECKLENBURG,11/07/2023,voter,096,096,UNA,W,UN,F,Age 18 - 25,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,006,006,UNA,B,NL,M,Age 41 - 65,32,11/27/2023,
MECKLENBURG,11/07/2023,voter,140,140,DEM,W,UN,M,Age 18 - 25,7,11/27/2023,
MECKLENBURG,11/07/2023,voter,142,142,REP,W,NL,M,Age 18 - 25,64,11/27/2023,
MECKLENBURG,11/07/2023,voter,145,145,DEM,O,NL,U,Age 18 - 25,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,033,033,UNA,W,UN,F,Age 41 - 65,12,11/27/2023,
MECKLENBURG,11/07/2023,voter,081,081,DEM,U,UN,F,Age 18 - 25,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,149,149,UNA,U,HL,F,Age 18 - 25,8,11/27/2023,
MECKLENBURG,11/07/2023,voter,009,009,REP,U,UN,U,Age 18 - 25,3,11/27/2023,
MECKLENBURG,11/07/2023,voter,104,104,DEM,O,HL,F,Age 18 - 25,15,11/27/2023,
MECKLENBURG,11/07/2023,voter,009,009,UNA,W,UN,F,Age Over 66,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,117,117,DEM,W,NL,F,Age 18 - 25,12,11/27/2023,
MECKLENBURG,11/07/2023,voter,022,022,DEM,B,NL,F,Age 41 - 65,216,11/27/2023,
MECKLENBURG,11/07/2023,voter,229,229,REP,A,UN,M,Age Over 66,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,243,243,DEM,O,HL,M,Age Over 66,8,11/27/2023,
MECKLENBURG,11/07/2023,voter,013,013,REP,M,UN,M,Age 26 - 40,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,035,035,UNA,U,HL,F,Age 26 - 40,2,11/27/2023,
MECKLENBURG,11/07/2023,voter,227,227,REP,M,HL,F,Age 41 - 65,1,11/27/2023,
MECKLENBURG,11/07/2023,voter,064,064,UNA,B,UN,F,Age 26 - 40,5,11/27/2023,
MECKLENBURG,11/07/2023,voter,057,057,UNA,B,NL,F,Age 26 - 40,4,11/27/2023,
MECKLENBURG,11/07/2023,voter,230,230,UNA,I,UN,F,Age Over 66,1,11/27/2023,
