,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
3468,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,34,18,0,0,52,Y
3470,MECKLENBURG,11/7/23,138,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,150,101,0,0,251,Y
3504,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,220,118,0,0,338,Y
3506,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,206,111,0,0,317,Y
3512,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,196,112,0,0,308,Y
3518,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,126,50,0,0,176,Y
3520,MECKLENBURG,11/7/23,139.1,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,213,120,0,0,333,Y
3554,MECKLENBURG,11/7/23,140,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,259,233,0,0,492,Y
3556,MECKLENBURG,11/7/23,140,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,241,230,0,0,471,Y
3562,MECKLENBURG,11/7/23,140,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,231,212,0,0,443,Y
3568,MECKLENBURG,11/7/23,140,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,160,122,0,0,282,Y
3570,MECKLENBURG,11/7/23,140,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,262,240,0,0,502,Y
3604,MECKLENBURG,11/7/23,141,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,45,16,0,0,61,Y
3606,MECKLENBURG,11/7/23,141,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,46,15,0,0,61,Y
3612,MECKLENBURG,11/7/23,141,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,47,16,0,0,63,Y
3618,MECKLENBURG,11/7/23,141,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,19,1,0,0,20,Y
3620,MECKLENBURG,11/7/23,141,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,45,15,0,0,60,Y
3743,MECKLENBURG,11/7/23,144,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,249,218,0,0,467,Y
3745,MECKLENBURG,11/7/23,144,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,230,203,0,0,433,Y
3751,MECKLENBURG,11/7/23,144,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,210,194,0,0,404,Y
3757,MECKLENBURG,11/7/23,144,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,176,80,0,0,256,Y
3759,MECKLENBURG,11/7/23,144,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,244,211,0,0,455,Y
3793,MECKLENBURG,11/7/23,145,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,800,434,0,0,1234,Y
3795,MECKLENBURG,11/7/23,145,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,769,418,0,0,1187,Y
3801,MECKLENBURG,11/7/23,145,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,754,418,0,0,1172,Y
3807,MECKLENBURG,11/7/23,145,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,271,57,0,0,328,Y
3809,MECKLENBURG,11/7/23,145,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,797,436,0,0,1233,Y
7281,MECKLENBURG,11/7/23,55,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,137,92,0,0,229,Y
7283,MECKLENBURG,11/7/23,55,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,143,99,0,0,242,Y
7289,MECKLENBURG,11/7/23,55,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,139,92,0,0,231,Y
7295,MECKLENBURG,11/7/23,55,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,17,3,0,0,20,Y
7297,MECKLENBURG,11/7/23,55,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,136,91,0,0,227,Y
7330,MECKLENBURG,11/7/23,56,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,95,41,0,0,136,Y
7332,MECKLENBURG,11/7/23,56,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,96,47,0,0,143,Y
7338,MECKLENBURG,11/7/23,56,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,96,42,0,0,138,Y
7344,MECKLENBURG,11/7/23,56,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,18,8,0,0,26,Y
7346,MECKLENBURG,11/7/23,56,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Victoria Watlington,DEM,4,95,47,0,0,142,Y
7381,MECKLENBURG,11/7/23,57,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Dimple Ajmera,DEM,4,264,228,0,0,492,Y
7383,MECKLENBURG,11/7/23,57,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,"James (Smuggie) Mitchell, Jr.",DEM,4,264,203,0,0,467,Y
7389,MECKLENBURG,11/7/23,57,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,LaWana Slack-Mayfield,DEM,4,239,201,0,0,440,Y
7395,MECKLENBURG,11/7/23,57,2,C,CITY OF CHARLOTTE CITY COUNCIL AT-LARGE,Steven J. DiFiore II,LIB,4,153,78,0,0,231,Y
