county_id,county,election_dt,result_type_lbl,result_type_desc,contest_id,contest_title,contest_party_lbl,contest_vote_for,precinct_code,precinct_name,candidate_id,candidate_name,candidate_party_lbl,group_num,group_name,voting_method_lbl,voting_method_rslt_desc,vote_ct
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2536,Harry Okeke,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2534,Jane Hughes Redding,NON,1,ELECTION DAY,V,Election Day,100
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2534,Jane Hughes Redding,NON,2,ONE-STOP,O,Absentee: One-Stop,98
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2534,Jane Hughes Redding,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2534,Jane Hughes Redding,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2534,Jane Hughes Redding,NON,5,TRANSFER,T,Election Day: Transfer,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2537,Joey Trogdon,NON,1,ELECTION DAY,V,Election Day,135
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2537,Joey Trogdon,NON,2,ONE-STOP,O,Absentee: One-Stop,99
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2537,Joey Trogdon,NON,3,MAIL,M,Absentee: By-Mail,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2537,Joey Trogdon,NON,4,PROVISIONAL,P,Provisional,0
76,RANDOLPH,11/07/2023,STD,<NORMAL>,1444,CITY OF ASHEBORO CITY COUNCIL,NUL,3,AS,ASHEBORO SOUTH,2537,Joey Trogdon,NON,5,TRANSFER,T,Election Day: Transfer,0
