"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US370010215003","Block Group 3; Census Tract 215; Alamance County; North Carolina","756","147","9","14","0","14","8","14","9","15","44","47","0","14","40","43","39","30","0","14","71","72","108","63","118","67","94","58","59","49","114","90","43","36",
"1500000US370010216001","Block Group 1; Census Tract 216; Alamance County; North Carolina","454","129","17","22","6","7","30","28","83","68","7","6","3","6","98","87","34","30","2","6","46","38","19","13","40","24","11","8","28","23","10","9","20","28",
"1500000US370010216002","Block Group 2; Census Tract 216; Alamance County; North Carolina","457","207","0","14","47","73","33","50","0","14","130","148","14","22","14","22","11","18","13","21","0","14","32","29","36","32","45","45","50","54","0","14","32","36",
"1500000US370010216003","Block Group 3; Census Tract 216; Alamance County; North Carolina","761","165","17","28","0","14","0","14","33","49","14","22","47","58","31","37","66","75","0","14","0","14","57","50","159","97","160","123","58","53","98","88","21","32",
"1500000US370010216004","Block Group 4; Census Tract 216; Alamance County; North Carolina","603","167","48","76","57","53","9","16","16","26","31","35","0","14","39","38","0","14","0","14","0","14","62","80","136","93","52","41","0","14","122","103","31","36",
"1500000US370010217011","Block Group 1; Census Tract 217.01; Alamance County; North Carolina","626","147","17","21","0","14","19","23","26","43","0","14","8","11","11","19","57","49","14","16","26","23","53","69","68","44","122","82","116","67","37","31","52","39",
"1500000US370010217012","Block Group 2; Census Tract 217.01; Alamance County; North Carolina","909","166","48","47","9","14","19","22","18","20","16","24","15","18","13","15","26","24","51","39","63","38","169","79","96","47","173","107","20","22","116","52","57","40",
"1500000US370010217021","Block Group 1; Census Tract 217.02; Alamance County; North Carolina","502","135","131","94","74","87","29","48","35","54","113","107","0","14","0","14","0","14","0","14","94","65","0","14","26","40","0","14","0","14","0","14","0","14",
"1500000US370010217022","Block Group 2; Census Tract 217.02; Alamance County; North Carolina","970","237","24","28","35","39","36","35","0","14","25","26","0","14","0","14","14","21","33","54","36","34","28","27","80","61","46","37","94","48","335","239","184","82",
"1500000US370010217023","Block Group 3; Census Tract 217.02; Alamance County; North Carolina","537","149","36","32","0","14","14","23","29","44","0","14","22","32","25","25","30","35","11","17","58","66","69","55","90","58","48","38","30","36","23","27","52","37",
