,Unnamed: 0,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
33,3031,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,129,67,0,0,196,Y
34,3032,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,125,54,0,0,179,Y
35,3033,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,53,7,0,0,60,Y
36,3034,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,109,46,0,0,155,Y
37,3035,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,30,5,0,0,35,Y
38,3036,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,23,10,0,0,33,Y
39,3038,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,89,20,0,0,109,Y
40,3040,MECKLENBURG,11/7/23,065,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,18,10,0,0,28,Y
41,3074,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,45,12,0,0,57,Y
42,3075,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,57,13,0,0,70,Y
43,3076,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,42,8,0,0,50,Y
44,3077,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,68,20,0,0,88,Y
45,3078,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,43,9,0,0,52,Y
46,3079,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,13,6,0,0,19,Y
47,3080,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,112,41,0,0,153,Y
48,3081,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,138,48,0,0,186,Y
49,3082,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,43,6,0,0,49,Y
50,3083,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,115,46,0,0,161,Y
51,3084,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,22,1,0,0,23,Y
52,3085,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,18,1,0,0,19,Y
53,3087,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,85,22,0,0,107,Y
54,3089,MECKLENBURG,11/7/23,066,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,20,1,0,0,21,Y
55,3124,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,75,23,0,0,98,Y
56,3125,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,93,47,0,0,140,Y
57,3126,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,41,18,0,0,59,Y
58,3127,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,92,38,0,0,130,Y
59,3128,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,22,23,0,0,45,Y
60,3129,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,11,6,0,0,17,Y
61,3130,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,84,70,0,0,154,Y
62,3131,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,130,75,0,0,205,Y
63,3132,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,67,28,0,0,95,Y
64,3133,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,79,53,0,0,132,Y
65,3134,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,14,12,0,0,26,Y
66,3135,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,17,13,0,0,30,Y
67,3137,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,52,43,0,0,95,Y
68,3139,MECKLENBURG,11/7/23,067,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,19,2,0,0,21,Y
69,3174,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,57,13,0,0,70,Y
70,3175,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,57,11,0,0,68,Y
71,3176,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,24,7,0,0,31,Y
72,3177,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,49,11,0,0,60,Y
73,3178,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,19,9,0,0,28,Y
74,3179,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,8,1,0,0,9,Y
75,3180,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,41,42,0,0,83,Y
76,3181,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,59,47,0,0,106,Y
77,3182,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,48,7,0,0,55,Y
78,3183,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,41,45,0,0,86,Y
79,3184,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,17,7,0,0,24,Y
80,3185,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,18,3,0,0,21,Y
81,3187,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,49,28,0,0,77,Y
82,3189,MECKLENBURG,11/7/23,068,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,8,4,0,0,12,Y
83,3224,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,139,50,0,0,189,Y
84,3225,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,205,85,0,0,290,Y
85,3226,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,97,41,0,0,138,Y
86,3227,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,275,66,0,0,341,Y
87,3228,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,87,31,0,0,118,Y
88,3229,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,27,10,0,0,37,Y
89,3230,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,231,112,0,0,343,Y
90,3231,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,274,127,0,0,401,Y
91,3232,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,142,52,0,0,194,Y
92,3233,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Monty Witherspoon, ,3,219,93,0,0,312,Y
93,3234,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Omar Harris, ,3,26,17,0,0,43,Y
94,3235,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Peggy A. Capehart, ,3,29,14,0,0,43,Y
95,3237,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Shamaiye Haynes, ,3,117,46,0,0,163,Y
96,3239,MECKLENBURG,11/7/23,069,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Tigress Sydney Acute McDaniel, ,3,20,11,0,0,31,Y
97,3274,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Annette Albright, ,3,105,46,0,0,151,Y
98,3275,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Bill Fountain, ,3,147,81,0,0,228,Y
99,3276,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Brian Kasher, ,3,71,22,0,0,93,Y
100,3277,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Claire Covington, ,3,139,59,0,0,198,Y
101,3278,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Clara Kennedy Witherspoon, ,3,65,21,0,0,86,Y
102,3279,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Juanrique Pallamente Hall, ,3,17,6,0,0,23,Y
103,3280,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Lenora Shipp, ,3,146,111,0,0,257,Y
104,3281,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Liz Monterrey, ,3,174,116,0,0,290,Y
105,3282,MECKLENBURG,11/7/23,070,10,C,CHARLOTTE-MECKLENBURG SCHOOLS BOARD OF EDUCATION AT-LARGE,Michael Johnson, ,3,107,29,0,0,136,Y
