,Unnamed: 0,id,prec_id,enr_desc,county_nam,of_prec_id,county_id,total_vap,hs_grad,scol_nd,bach_deg
1078,1078,1090,216,216,MECKLENBURG,,60,7019.0,1681.0,1688.0,2269.0
1079,1079,1130,237,237,MECKLENBURG,,60,4926.0,1090.0,852.0,1219.0
1080,1080,1091,217,217,MECKLENBURG,,60,3156.0,549.0,375.0,1311.0
1081,1081,1093,219,219,MECKLENBURG,,60,2710.0,474.0,705.0,528.0
1083,1083,1131,238.1,238.1,MECKLENBURG,,60,1264.0,243.0,352.0,326.0
1094,1094,1103,220,220,MECKLENBURG,,60,4370.0,962.0,1218.0,919.0
1095,1095,1104,221,221,MECKLENBURG,,60,4527.0,878.0,991.0,1319.0
1096,1096,1105,222,222,MECKLENBURG,,60,5941.0,1316.0,1852.0,959.0
1097,1097,1106,223.1,223.1,MECKLENBURG,,60,8179.0,1804.0,1926.0,2392.0
1098,1098,1107,224,224,MECKLENBURG,,60,2317.0,635.0,400.0,545.0
1099,1099,1108,225,225,MECKLENBURG,,60,3162.0,626.0,764.0,884.0
1100,1100,1109,226,226,MECKLENBURG,,60,3326.0,487.0,641.0,1347.0
1103,1103,1110,227,227,MECKLENBURG,,60,7391.0,1203.0,1103.0,2797.0
1107,1107,1111,228,228,MECKLENBURG,,60,5656.0,1210.0,1184.0,1911.0
1109,1109,1112,229,229,MECKLENBURG,,60,13711.0,1790.0,2797.0,5111.0
1119,1119,1123,230,230,MECKLENBURG,,60,11085.0,2253.0,2177.0,3843.0
1120,1120,1124,231,231,MECKLENBURG,,60,4651.0,713.0,1103.0,1873.0
1121,1121,1125,232,232,MECKLENBURG,,60,4998.0,334.0,981.0,2113.0
1122,1122,1126,233,233,MECKLENBURG,,60,3997.0,535.0,584.0,1793.0
1123,1123,1127,234,234,MECKLENBURG,,60,3685.0,1174.0,937.0,760.0
1124,1124,1128,235,235,MECKLENBURG,,60,1626.0,360.0,434.0,301.0
1125,1125,1129,236,236,MECKLENBURG,,60,5969.0,1199.0,1513.0,1635.0
1126,1126,1132,239,239,MECKLENBURG,,60,3279.0,538.0,636.0,1088.0
1138,1138,1143,240,240,MECKLENBURG,,60,7578.0,975.0,1628.0,2611.0
1139,1139,1144,241,241,MECKLENBURG,,60,8140.0,1034.0,1032.0,3237.0
1147,1147,1145,242,242,MECKLENBURG,,60,4586.0,507.0,698.0,2041.0
1148,1148,1146,243,243,MECKLENBURG,,60,12064.0,2387.0,2386.0,3587.0
