,Unnamed: 0,County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes,Real Precinct
90,2945,MECKLENBURG,7/26/22,023,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,23,8,0,0,31,Y
91,2946,MECKLENBURG,7/26/22,023,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,110,80,0,0,190,Y
92,2965,MECKLENBURG,7/26/22,024,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,34,13,0,0,47,Y
93,2966,MECKLENBURG,7/26/22,024,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,135,116,0,0,251,Y
94,2985,MECKLENBURG,7/26/22,025,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,11,2,0,0,13,Y
95,2986,MECKLENBURG,7/26/22,025,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,119,128,0,0,247,Y
96,3005,MECKLENBURG,7/26/22,026,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,36,16,0,0,52,Y
97,3006,MECKLENBURG,7/26/22,026,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,194,172,0,0,366,Y
98,3025,MECKLENBURG,7/26/22,027,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,10,11,0,0,21,Y
99,3026,MECKLENBURG,7/26/22,027,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,54,58,0,0,112,Y
100,3045,MECKLENBURG,7/26/22,028,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,30,5,0,0,35,Y
101,3046,MECKLENBURG,7/26/22,028,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,132,85,0,0,217,Y
102,3065,MECKLENBURG,7/26/22,029,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,37,13,0,0,50,Y
103,3066,MECKLENBURG,7/26/22,029,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,160,81,0,0,241,Y
104,3085,MECKLENBURG,7/26/22,030,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,48,16,0,0,64,Y
105,3086,MECKLENBURG,7/26/22,030,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,330,140,0,0,470,Y
106,3105,MECKLENBURG,7/26/22,031,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,11,8,0,0,19,Y
107,3106,MECKLENBURG,7/26/22,031,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,103,123,0,0,226,Y
108,3125,MECKLENBURG,7/26/22,032,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,173,95,0,0,268,Y
109,3126,MECKLENBURG,7/26/22,032,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,157,105,0,0,262,Y
110,3145,MECKLENBURG,7/26/22,033,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,58,13,0,0,71,Y
111,3146,MECKLENBURG,7/26/22,033,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,159,69,0,0,228,Y
112,3164,MECKLENBURG,7/26/22,034,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,54,23,0,0,77,Y
113,3165,MECKLENBURG,7/26/22,034,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,192,80,0,0,272,Y
114,3183,MECKLENBURG,7/26/22,035,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,110,53,0,0,163,Y
115,3184,MECKLENBURG,7/26/22,035,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,147,89,0,0,236,Y
116,3203,MECKLENBURG,7/26/22,036,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,197,106,0,0,303,Y
117,3204,MECKLENBURG,7/26/22,036,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,228,146,0,0,374,Y
118,3223,MECKLENBURG,7/26/22,037,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,99,33,0,0,132,Y
119,3224,MECKLENBURG,7/26/22,037,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,149,72,0,0,221,Y
120,3243,MECKLENBURG,7/26/22,038,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,70,18,0,0,88,Y
121,3244,MECKLENBURG,7/26/22,038,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,122,59,0,0,181,Y
122,3263,MECKLENBURG,7/26/22,039,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,6,8,0,0,14,Y
123,3264,MECKLENBURG,7/26/22,039,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,72,101,0,0,173,Y
124,3283,MECKLENBURG,7/26/22,040,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,12,6,0,0,18,Y
125,3780,MECKLENBURG,7/26/22,040,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,97,70,0,0,167,Y
126,3799,MECKLENBURG,7/26/22,041,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,12,3,0,0,15,Y
127,3800,MECKLENBURG,7/26/22,041,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,103,59,0,0,162,Y
128,3819,MECKLENBURG,7/26/22,042,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,10,13,0,0,23,Y
129,3820,MECKLENBURG,7/26/22,042,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,169,155,0,0,324,Y
130,3839,MECKLENBURG,7/26/22,043,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,22,18,0,0,40,Y
131,3840,MECKLENBURG,7/26/22,043,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,127,107,0,0,234,Y
132,3859,MECKLENBURG,7/26/22,044,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,37,17,0,0,54,Y
133,3860,MECKLENBURG,7/26/22,044,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,191,115,0,0,306,Y
134,3879,MECKLENBURG,7/26/22,045,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,55,11,0,0,66,Y
135,3880,MECKLENBURG,7/26/22,045,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,145,54,0,0,199,Y
136,3898,MECKLENBURG,7/26/22,046,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,61,12,0,0,73,Y
137,3899,MECKLENBURG,7/26/22,046,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,188,58,0,0,246,Y
138,3918,MECKLENBURG,7/26/22,047,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,160,73,0,0,233,Y
139,3919,MECKLENBURG,7/26/22,047,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,212,184,0,0,396,Y
140,3938,MECKLENBURG,7/26/22,048,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,161,88,0,0,249,Y
141,3939,MECKLENBURG,7/26/22,048,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,185,103,0,0,288,Y
142,3958,MECKLENBURG,7/26/22,049,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,130,63,0,0,193,Y
143,3959,MECKLENBURG,7/26/22,049,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,208,136,0,0,344,Y
144,3978,MECKLENBURG,7/26/22,050,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,97,45,0,0,142,Y
145,3979,MECKLENBURG,7/26/22,050,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,132,107,0,0,239,Y
146,3998,MECKLENBURG,7/26/22,051,1,C,CITY OF CHARLOTTE MAYOR,Stephanie de Sarachaga-Bilbao,REP,1,133,33,0,0,166,Y
147,3999,MECKLENBURG,7/26/22,051,1,C,CITY OF CHARLOTTE MAYOR,Vi Alexander Lyles,DEM,1,220,93,0,0,313,Y
